endTime,artistName,trackName,msPlayed,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre,clusters,new_gen
2021-05-10 02:45:00,Mao Buyi,想你想你,630,0.633,0.218,1.0,-14.109000000000002,1.0,0.0382,0.794,2.82e-05,0.134,0.352,123.989,190573.0,4.0,chinese,4,j-pop
2021-05-10 02:45:00,YeYe,ゆらゆら,520,0.6779999999999999,0.6409999999999999,0.0,-6.751,1.0,0.0396,0.5539999999999999,0.00136,0.112,0.504,90.046,279000.0,4.0,japanese,7,lo-fi
2021-05-10 02:45:00,CIKI,BOKE,1240,0.802,0.488,1.0,-5.523,0.0,0.0675,0.569,1.55e-05,0.22,0.496,94.994,184510.0,4.0,indie,4,j-pop
2021-05-10 02:45:00,SURL,Dry Flower,810,0.679,0.595,0.0,-4.374,0.0,0.03,0.705,0.0,0.106,0.438,120.09,183187.0,4.0,indie pop,7,lo-fi
2021-05-10 02:46:00,10cm,My Eyes - Instrumental,590,0.825,0.409,0.0,-9.412,1.0,0.0477,0.197,0.765,0.0948,0.8220000000000001,107.992,157001.0,4.0,korean,7,lo-fi
2021-05-10 02:46:00,Eve,Kaikai Kitan,760,0.584,0.911,5.0,-3.515,0.0,0.09,0.0119,0.0,0.119,0.606,92.502,221426.0,4.0,hip-hop,13,electro
2021-05-10 02:46:00,10cm,However,710,0.347,0.238,3.0,-6.513,1.0,0.0351,0.856,0.0,0.105,0.277,167.9,230909.0,3.0,korean,11,pop
2021-05-10 02:46:00,KEY,One of Those Nights,640,0.732,0.589,5.0,-6.223,0.0,0.072,0.0689,0.0,0.0489,0.619,127.968,190328.0,4.0,neofolk,13,electro
2021-05-10 02:46:00,US Military Bands,Star Spangled Banner,730,0.294,0.195,10.0,-18.372,1.0,0.041,0.902,0.939,0.13,0.478,99.119,94000.0,3.0,donald j. trump,11,pop
2021-05-10 02:46:00,N.Flying,Rooftop,570,0.6920000000000001,0.9,0.0,-2.188,1.0,0.051,0.532,0.0,0.235,0.915,96.989,210652.0,4.0,korean,7,lo-fi
2021-05-10 02:46:00,Gen Hoshino,SUN,770,0.782,0.684,1.0,-5.774,1.0,0.0398,0.021,0.0,0.125,0.858,108.171,241467.0,4.0,japanese,4,j-pop
2021-05-10 02:46:00,Yoh kamiyama,生絲,1050,0.68,0.7070000000000001,8.0,-5.287000000000001,0.0,0.0336,0.184,0.0,0.296,0.602,127.92,264387.0,4.0,j-pop,1,k-pop
2021-05-10 02:46:00,BOL4,Leo (feat. BAEKHYUN),1630,0.605,0.541,3.0,-4.726,1.0,0.0284,0.6559999999999999,0.0,0.153,0.648,90.035,188000.0,4.0,indie,9,electronic
2021-05-10 02:46:00,Mrs. GREEN APPLE,"Love me, Love you",810,0.762,0.943,0.0,-2.881,1.0,0.045,0.0502,0.0,0.275,0.8059999999999999,129.999,283240.0,4.0,rock,7,lo-fi
2021-05-10 02:46:00,Gen Hoshino,Create,900,0.7240000000000001,0.8079999999999999,10.0,-4.877,0.0,0.0756,0.00617,0.000199,0.315,0.836,95.007,234167.0,4.0,japanese,14,funk
2021-05-10 02:46:00,たかやん,Toy,680,0.631,0.422,7.0,-8.908999999999997,0.0,0.113,0.807,0.00198,0.116,0.534,83.07700000000001,197080.0,4.0,japanese,2,indie
2021-05-10 02:46:00,Mayday,諾亞方舟 live in the sky,540,0.452,0.591,9.0,-5.426,1.0,0.0286,0.027,0.0,0.16,0.208,136.0,348000.0,4.0,indie,3,indie pop
2021-05-10 02:46:00,SHINee,View,670,0.728,0.8009999999999999,6.0,-4.428,0.0,0.0439,0.04,0.0,0.0415,0.6559999999999999,123.953,190821.0,4.0,k-pop,10,hip-hop
2021-05-10 02:46:00,iKON,Why Why Why,790,0.7490000000000001,0.634,0.0,-5.964,0.0,0.0595,0.172,0.0,0.109,0.274,123.997,206856.0,4.0,gothic rock,7,lo-fi
2021-05-10 02:46:00,BOL4,Bom,590,0.5589999999999999,0.649,7.0,-3.5610000000000004,1.0,0.0571,0.407,0.0,0.0803,0.5479999999999999,195.94,217045.0,4.0,indie,2,indie
2021-05-10 02:46:00,Mayday,戀愛ing - Live,530,0.546,0.957,0.0,-3.58,1.0,0.054,0.234,0.0,0.376,0.611,98.333,214507.0,4.0,indie,7,lo-fi
2021-05-10 02:46:00,BOL4,Some,730,0.659,0.799,1.0,-2.849,0.0,0.0629,0.417,0.0,0.0562,0.782,103.991,181373.0,4.0,indie,4,j-pop
